2026-03-14 10:54:27	G1	1	M1	M1.10	MAJOR	FAIL	skipped	0.0	Dry run
2026-03-14 17:00:00	G1	1	M1	M1.10	MODERATE	RESOLVED	0.0	8a58508e	Already fixed by M6.1 resolution (commit 8a58508e): §2.1 vertex coordinates now use Convention A (R=(1,-1,-1)/√3) consistent with cross-references at line 498
2026-03-14 12:38:49	G1	1	M8	M8.1	CRITICAL	SKIPPED	0.0		Dry run
2026-03-14 12:38:49	G1	1	M6	M6.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:49	G1	1	M8	M8.7	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:49	G1	1	M9	M9.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:49	G1	1	M9	M9.17	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:53	G1	1	M8	M8.1	CRITICAL	SKIPPED	0.0		Dry run
2026-03-14 12:38:53	G1	1	M6	M6.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:53	G1	1	M8	M8.7	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:53	G1	1	M9	M9.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:38:53	G1	1	M9	M9.17	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M8	M8.1	CRITICAL	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M6	M6.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M8	M8.7	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.1	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.17	MAJOR	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M1	M1.10	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M4	M4.16	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M4	M4.17	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M6	M6.2	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M8	M8.2	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M8	M8.3	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.5	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.7	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.9	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.11	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.12	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.14	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M9	M9.18	MODERATE	SKIPPED	0.0		Dry run
2026-03-14 12:39:04	G1	1	M8	M8.4	MINOR	SKIPPED	0.0		Dry run
