timestamp	group	layer	module	result	checks_total	checks_passed	checks_failed	checks_noted	duration_s	report_file	summary
2026-03-14 09:59:45	G2	1	M1	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M2	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M3	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M4	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M5	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M6	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M7	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M8	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M9	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	1	M10	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V1	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V3	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V2	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V5	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V6	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V4	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V7	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	2	V8	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A4	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A2	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A1	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A3	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A5	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:45	G2	3	A6	PASS	0	0	0	0	0.0		Dry run
2026-03-14 09:59:49	G6	2	V1	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:12:49	G1	1	M1	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M1-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M2	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M2-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M3	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M3-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M4	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M4-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M5	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M5-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M6	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M6-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M7	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M7-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M8	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M8-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M9	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M9-Findings.md	Could not parse structured results
2026-03-14 10:12:49	G1	1	M10	ERROR	0	0	0	0	0.1	G1-Geometric-Foundation-Coherence-M10-Findings.md	Could not parse structured results
2026-03-14 10:19:56	G1	1	M1	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M2	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M3	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M4	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M5	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M6	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M7	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M8	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M9	PASS	0	0	0	0	0.0		Dry run
2026-03-14 10:19:56	G1	1	M10	PASS	0	0	0	0	0.0		Dry run
2026-03-14 11:24:32	G1	1	M1	PASS	0	0	0	0	345.7	G1-Geometric-Foundation-Coherence-M1-Findings.md	Could not parse structured results
2026-03-14 11:24:32	G1	1	M2	PASS	0	0	0	0	474.6	G1-Geometric-Foundation-Coherence-M2-Findings.md	Could not parse structured results
2026-03-14 11:24:32	G1	1	M3	PASS	0	0	0	0	563.1	G1-Geometric-Foundation-Coherence-M3-Findings.md	Could not parse structured results
2026-03-14 11:24:32	G1	1	M4	PASS	0	0	0	0	283.1	G1-Geometric-Foundation-Coherence-M4-Findings.md	Could not parse structured results
2026-03-14 11:24:32	G1	1	M5	PASS	0	0	0	0	264.0	G1-Geometric-Foundation-Coherence-M5-Findings.md	Could not parse structured results
